step,wall_time,mean_speed,mean_nnd,global_polarity,flock_radius,mean_reward
1,2.097,0.4733,2.23502,0.07413,9.78716,0.49671
2,2.249,0.46969,2.27301,0.13202,9.79654,0.49956
3,2.325,0.46833,2.31845,0.19553,9.81794,0.50435
4,2.408,0.46921,2.3379,0.25462,9.85127,0.50832
5,2.485,0.47272,2.38508,0.31357,9.89677,0.51296
6,2.57,0.47721,2.43935,0.3739,9.95401,0.52167
7,2.702,0.48401,2.49199,0.42848,10.02103,0.52671
8,2.897,0.49112,2.49037,0.47877,10.09809,0.52992
9,3.002,0.50013,2.5064,0.52694,10.18427,0.53457
10,3.092,0.51032,2.54432,0.56638,10.27903,0.53538
11,3.183,0.52202,2.62376,0.61188,10.38108,0.54417
12,3.284,0.53294,2.69963,0.65076,10.49083,0.55194
13,3.372,0.54416,2.7628,0.68558,10.60692,0.55994
14,3.472,0.55628,2.81772,0.71469,10.73005,0.55785
15,3.573,0.56734,2.82832,0.74051,10.85959,0.56535
16,3.664,0.57783,2.83808,0.75818,10.99692,0.56221
17,3.753,0.58889,2.86376,0.77839,11.1415,0.56963
18,3.846,0.5996,2.93509,0.79162,11.29394,0.56776
19,3.94,0.61113,2.99506,0.80842,11.45363,0.57058
20,4.019,0.62114,3.0361,0.82118,11.61899,0.57613
21,4.102,0.63065,3.06105,0.83453,11.78673,0.58163
22,4.196,0.63986,3.08405,0.84632,11.95659,0.58737
23,4.293,0.64821,3.12487,0.85534,12.12888,0.59205
24,4.387,0.65722,3.17236,0.86301,12.30337,0.59691
25,4.465,0.66272,3.23998,0.87117,12.47754,0.59246
26,4.545,0.66929,3.32181,0.87803,12.65353,0.5969
27,4.643,0.67722,3.39075,0.8847,12.82931,0.60158
28,4.736,0.68437,3.43912,0.89156,13.00482,0.6059
29,4.815,0.69037,3.4945,0.89721,13.18019,0.60977
30,4.895,0.69581,3.54624,0.90273,13.35337,0.61315
31,4.972,0.7015,3.60872,0.90822,13.5236,0.61501
32,5.053,0.70722,3.6536,0.91197,13.69195,0.61405
33,5.132,0.71326,3.68299,0.91497,13.85954,0.61648
34,5.21,0.71815,3.71184,0.91898,14.02474,0.61502
35,5.294,0.72248,3.73142,0.92209,14.18634,0.61532
36,5.386,0.72721,3.76048,0.92516,14.34434,0.61585
37,5.467,0.73248,3.79484,0.92789,14.49851,0.61826
38,5.561,0.73683,3.82693,0.93194,14.64864,0.62076
39,5.655,0.74104,3.85519,0.93507,14.79403,0.62116
40,5.735,0.74528,3.87939,0.93717,14.93542,0.62137
41,5.817,0.74982,3.90836,0.9398,15.07272,0.62214
42,5.911,0.75279,3.94203,0.94212,15.20606,0.62371
43,6.011,0.75593,3.9706,0.94461,15.33487,0.62519
44,6.107,0.75967,4.00249,0.94644,15.46031,0.6255
45,6.202,0.76183,4.03125,0.94779,15.58127,0.62504
46,6.292,0.76633,4.05409,0.94979,15.69837,0.62425
47,6.391,0.76864,4.07392,0.95166,15.81156,0.62514
48,6.486,0.771,4.08869,0.95361,15.92207,0.62595
49,6.583,0.7737,4.09201,0.95469,16.02905,0.62694
50,6.677,0.77717,4.0926,0.95646,16.13121,0.62689
51,6.764,0.78168,4.09386,0.95774,16.22877,0.62521
52,6.859,0.78579,4.09915,0.95888,16.32181,0.62564
53,6.953,0.78881,4.10611,0.96034,16.4101,0.6254
54,7.048,0.79149,4.11842,0.9611,16.49522,0.624
55,7.142,0.79478,4.13657,0.96274,16.57635,0.62375
56,7.238,0.799,4.15139,0.96329,16.65418,0.62279
57,7.334,0.80101,4.16748,0.96409,16.72745,0.6217
58,7.429,0.80387,4.18458,0.96466,16.79531,0.62008
59,7.524,0.80459,4.19985,0.9653,16.85935,0.62121
60,7.619,0.80819,4.2049,0.96614,16.91856,0.62237
61,7.714,0.81201,4.20819,0.96714,16.9729,0.62152
62,7.809,0.8169,4.20545,0.96745,17.02291,0.6195
63,7.904,0.81939,4.19662,0.96796,17.06813,0.61838
64,7.999,0.82196,4.17463,0.96874,17.10811,0.61953
65,8.093,0.82543,4.14814,0.96908,17.14471,0.61859
66,8.187,0.82824,4.12242,0.96925,17.17694,0.61927
67,8.286,0.83126,4.10204,0.96984,17.2033,0.61814
68,8.378,0.83474,4.08296,0.97012,17.22554,0.61537
69,8.472,0.83604,4.07274,0.97024,17.24359,0.61675
70,8.569,0.83776,4.06629,0.97023,17.25706,0.61564
71,8.664,0.83949,4.05205,0.97043,17.26646,0.61311
72,8.76,0.84229,4.02787,0.97004,17.27088,0.6118
73,8.857,0.84323,4.00793,0.97009,17.27303,0.61327
74,8.95,0.84579,3.98307,0.96982,17.27008,0.61235
75,9.046,0.84735,3.96643,0.96961,17.26229,0.61148
76,9.14,0.84928,3.95527,0.96931,17.24981,0.61053
77,9.236,0.85101,3.94941,0.96888,17.23317,0.60895
78,9.33,0.85253,3.94214,0.96868,17.21146,0.60818
79,9.423,0.85493,3.92178,0.96817,17.18456,0.60575
80,9.522,0.85515,3.89735,0.96773,17.15389,0.60684
81,9.618,0.85535,3.8708,0.96755,17.11876,0.6063
82,9.723,0.85557,3.8493,0.96698,17.07774,0.61044
83,9.814,0.8552,3.8348,0.96665,17.03379,0.61001
84,9.907,0.85592,3.81031,0.96593,16.9854,0.60932
85,10.003,0.85451,3.77946,0.96529,16.93373,0.60918
86,10.097,0.85386,3.74791,0.96418,16.8789,0.60886
87,10.192,0.85385,3.71077,0.96349,16.82202,0.61168
88,10.288,0.85169,3.68622,0.96284,16.76311,0.61154
89,10.383,0.84983,3.67662,0.96235,16.70036,0.61151
90,10.478,0.84938,3.67138,0.9613,16.63431,0.60984
91,10.574,0.84906,3.67332,0.96056,17.43318,0.61425
92,10.668,0.8486,3.68216,0.95995,17.36669,0.61417
93,10.762,0.84892,3.68978,0.95878,18.22624,0.61815
94,10.858,0.84859,3.70069,0.95824,18.15859,0.61816
95,10.953,0.84727,3.69822,0.95755,18.09037,0.61565
96,11.047,0.84604,3.68692,0.95688,18.02027,0.61578
97,11.142,0.84432,3.67002,0.95607,19.92369,0.61391
98,11.237,0.84054,3.6588,0.95511,23.97438,0.61802
99,11.333,0.8389,3.63485,0.95398,23.90792,0.6186
100,11.428,0.83672,3.61126,0.95257,27.04118,0.61618
101,11.524,0.83325,3.58841,0.95131,28.09487,0.61341
102,11.618,0.83127,3.56654,0.9502,31.37802,0.61503
103,11.714,0.82807,3.52545,0.94968,34.67599,0.62149
104,11.808,0.8246,3.48145,0.94844,36.78846,0.62255
105,11.905,0.82021,3.43664,0.94731,39.98247,0.62333
106,12.0,0.8159,3.38623,0.9461,42.104,0.62409
107,12.093,0.8127,3.34923,0.94471,51.04485,0.62339
108,12.188,0.81097,3.31855,0.94366,54.56608,0.62408
109,12.282,0.8081,3.30618,0.94255,56.98395,0.62397
110,12.377,0.80608,3.29766,0.9417,64.23272,0.62625
111,12.473,0.80453,3.27917,0.94141,68.00323,0.62777
112,12.567,0.802,3.26093,0.9407,69.60036,0.62937
113,12.661,0.80168,3.24556,0.93973,70.02887,0.63105
114,12.762,0.79977,3.22219,0.93969,69.44054,0.63902
115,12.851,0.79816,3.18342,0.93964,68.30651,0.64019
116,12.946,0.79442,3.1489,0.93907,66.99618,0.64323
117,13.04,0.79281,3.1306,0.93818,64.80887,0.6417
118,13.135,0.79295,3.12104,0.93806,60.06203,0.64199
119,13.23,0.79281,3.1124,0.93774,57.93105,0.64221
120,13.328,0.79355,3.09619,0.93728,50.2059,0.64182
121,13.428,0.79254,3.08732,0.93736,48.37402,0.6451
122,13.539,0.7932,3.07812,0.93716,45.35299,0.64546
123,13.634,0.79303,3.05665,0.93657,42.20471,0.64161
124,13.723,0.79276,3.03447,0.93593,37.68594,0.64166
125,13.822,0.79202,3.00984,0.93615,34.15498,0.64172
126,13.916,0.79156,2.99342,0.93612,32.99605,0.64249
127,14.015,0.79101,2.98102,0.93574,31.82244,0.64598
128,14.109,0.79069,2.97689,0.93612,31.88581,0.64635
129,14.203,0.78916,2.97257,0.93604,30.72964,0.64877
130,14.299,0.78853,2.96256,0.93602,28.47727,0.65034
131,14.394,0.79011,2.94489,0.93582,27.30107,0.65036
132,14.487,0.79009,2.92461,0.93598,26.12866,0.65057
133,14.578,0.7894,2.90429,0.93648,22.70104,0.651
134,14.674,0.78849,2.88087,0.936,21.58288,0.65081
135,14.77,0.78905,2.84685,0.93633,20.47517,0.65086
136,14.864,0.78836,2.80991,0.93629,20.49819,0.65105
137,14.96,0.78683,2.77787,0.93637,17.46245,0.65167
138,15.056,0.78592,2.74867,0.93639,17.47454,0.65218
139,15.149,0.78518,2.73979,0.93633,16.54451,0.65272
140,15.238,0.78426,2.74454,0.93645,16.55374,0.65224
141,15.335,0.78516,2.75737,0.93687,15.77162,0.65232
142,15.429,0.78488,2.76291,0.93738,15.77846,0.65395
143,15.524,0.78229,2.7656,0.93779,14.94792,0.65468
144,15.618,0.78184,2.76886,0.93808,14.95208,0.65375
145,15.713,0.78142,2.7601,0.9386,14.95781,0.65408
146,15.809,0.78253,2.74433,0.93886,14.96499,0.65331
147,15.901,0.78053,2.7274,0.93901,14.97324,0.65381
148,15.999,0.77916,2.71975,0.93961,14.98334,0.65452
149,16.093,0.77781,2.71879,0.93969,14.99447,0.65531
150,16.187,0.77667,2.71327,0.93971,14.22887,0.65659
151,16.277,0.77535,2.70491,0.94019,13.4993,0.65731
152,16.371,0.77549,2.68734,0.94091,13.50182,0.65808
153,16.45,0.77405,2.66079,0.941,13.50746,0.65928
154,16.546,0.77255,2.63351,0.94146,13.51629,0.65973
155,16.647,0.77094,2.6079,0.94118,13.5276,0.66019
156,16.742,0.76965,2.58396,0.94197,13.54134,0.66057
157,16.841,0.76949,2.54665,0.94265,13.55679,0.66025
158,16.935,0.77098,2.50705,0.94347,13.57389,0.65961
159,17.031,0.77268,2.47143,0.9442,13.5921,0.65943
160,17.125,0.77302,2.43997,0.94503,13.61147,0.65918
161,17.221,0.77553,2.41218,0.94601,13.63322,0.65834
162,17.316,0.7762,2.39404,0.94662,13.65743,0.65801
163,17.411,0.77437,2.375,0.94718,13.68312,0.65844
164,17.5,0.7732,2.3611,0.94796,13.71013,0.65874
165,17.593,0.77201,2.35241,0.94821,13.73897,0.65927
166,17.688,0.77226,2.34003,0.94867,13.77109,0.65952
167,17.782,0.77242,2.33138,0.94904,13.80523,0.66011
168,17.877,0.7728,2.32374,0.95003,13.84094,0.65981
169,17.97,0.77077,2.31263,0.95072,13.87782,0.66025
170,18.066,0.7705,2.30851,0.95145,13.91517,0.66043
171,18.16,0.76895,2.30656,0.95183,13.95328,0.66139
172,18.26,0.76823,2.30345,0.9527,13.99117,0.66166
173,18.357,0.7675,2.29747,0.95366,14.02943,0.66286
174,18.457,0.76779,2.28387,0.95449,14.06827,0.66295
175,18.566,0.76626,2.26971,0.95467,14.10852,0.66343
176,18.676,0.76521,2.25312,0.95552,14.14936,0.66343
177,18.767,0.76541,2.23297,0.95608,14.19029,0.66412
178,18.861,0.76424,2.2183,0.95692,14.2317,0.66528
179,18.951,0.76213,2.20783,0.95722,14.27126,0.6667
180,19.046,0.75911,2.19618,0.95785,14.31257,0.66777
181,19.132,0.75733,2.18377,0.9584,14.35378,0.66951
182,19.22,0.75746,2.16599,0.95853,14.39555,0.67022
183,19.303,0.75621,2.15167,0.95937,14.43722,0.6724
184,19.391,0.75631,2.13826,0.96043,14.47841,0.67257
185,19.486,0.75539,2.12872,0.96082,14.51888,0.6723
186,19.583,0.75454,2.11853,0.96176,14.5593,0.67402
187,19.683,0.75414,2.1071,0.96195,14.59889,0.67492
188,19.779,0.75206,2.10384,0.96179,14.63683,0.67632
189,19.875,0.75058,2.10719,0.96231,14.67282,0.67826
190,19.968,0.74923,2.11351,0.96262,14.70632,0.68
191,20.064,0.74897,2.11199,0.96306,14.73828,0.6803
192,20.157,0.74915,2.10214,0.96316,14.77038,0.68054
193,20.255,0.74866,2.08539,0.9634,14.80159,0.6815
194,20.341,0.74889,2.06866,0.96433,14.83069,0.68254
195,20.438,0.7497,2.05018,0.9648,14.85914,0.68358
196,20.535,0.75072,2.02867,0.96519,14.88721,0.68399
197,20.628,0.75092,2.00272,0.96514,14.9143,0.68519
198,20.724,0.75098,1.97603,0.96532,14.94098,0.68727
199,20.814,0.75193,1.95379,0.96581,14.96718,0.68905
200,20.9,0.75169,1.93279,0.96653,14.99195,0.69011
201,20.992,0.75406,1.91565,0.96679,15.01506,0.69025
202,21.091,0.75413,1.89813,0.96716,15.037,0.69109
203,21.183,0.7563,1.88061,0.96745,15.05756,0.69186
204,21.277,0.75701,1.86661,0.96776,15.07576,0.69234
205,21.372,0.75931,1.86862,0.96807,15.09366,0.69231
206,21.468,0.76078,1.87721,0.96839,15.11073,0.69267
207,21.563,0.76178,1.88683,0.96882,15.12643,0.69346
208,21.658,0.76234,1.89355,0.96899,15.14082,0.69379
209,21.752,0.76319,1.8899,0.9695,16.0727,0.694
210,21.849,0.76353,1.8879,0.97021,20.21839,0.69375
211,21.944,0.76368,1.89299,0.97077,23.62269,0.69364
212,22.038,0.76433,1.89237,0.97114,27.15086,0.69318
213,22.134,0.76429,1.87879,0.97164,42.0806,0.69337
214,22.229,0.76485,1.87815,0.97192,56.1878,0.69314
215,22.323,0.76689,1.88048,0.97186,61.20748,0.69243
216,22.417,0.76539,1.87879,0.97208,67.78425,0.6924
217,22.513,0.76582,1.87578,0.97241,69.00951,0.69167
218,22.607,0.76778,1.87852,0.97262,69.65007,0.69052
219,22.704,0.76915,1.8718,0.97294,69.73785,0.68815
220,22.797,0.77173,1.86017,0.97339,69.8168,0.68638
221,22.891,0.77324,1.85467,0.97344,69.66734,0.68413
222,22.987,0.77492,1.84675,0.97388,69.48138,0.68091
223,23.082,0.77854,1.83682,0.97398,69.37177,0.67831
224,23.174,0.78195,1.83217,0.97446,67.7505,0.67686
225,23.272,0.78436,1.82453,0.97462,67.09611,0.67459
226,23.367,0.78844,1.82132,0.9751,64.99416,0.67286
227,23.464,0.79026,1.82243,0.97532,62.8905,0.67123
228,23.556,0.79267,1.82439,0.97562,61.71748,0.66935
229,23.653,0.79503,1.83381,0.97584,57.61335,0.66831
230,23.748,0.79721,1.8385,0.97619,56.07072,0.66773
231,23.843,0.80005,1.8431,0.97649,54.45523,0.66656
232,23.938,0.80255,1.84869,0.97727,52.77839,0.6656
233,24.035,0.80406,1.84848,0.97732,49.15106,0.66536
234,24.136,0.80546,1.84966,0.97764,44.17982,0.66465
235,24.233,0.80691,1.85346,0.978,36.50002,0.6644
236,24.327,0.80893,1.85901,0.97823,33.06245,0.66349
237,24.422,0.81109,1.86429,0.97831,33.06741,0.66236
238,24.531,0.81264,1.86672,0.97832,29.60474,0.66119
239,24.625,0.81443,1.86776,0.9783,28.45959,0.66013
240,24.721,0.8175,1.87686,0.97838,26.21813,0.65897
241,24.833,0.82003,1.88464,0.97885,22.93809,0.65822
242,24.926,0.82358,1.89014,0.97928,22.94159,0.65779
243,25.016,0.82547,1.89866,0.97904,21.89745,0.658
244,25.113,0.82758,1.90363,0.97937,20.90362,0.65707
245,25.212,0.83175,1.90779,0.97974,20.90468,0.65677
246,25.307,0.83495,1.90995,0.98021,20.90545,0.65692
247,25.397,0.83686,1.89972,0.98029,19.11205,0.65666
248,25.489,0.83836,1.889,0.98013,18.26365,0.65778
249,25.583,0.84025,1.87523,0.98048,17.45592,0.65829
250,25.677,0.84397,1.85465,0.98095,17.44927,0.65819
251,25.773,0.84715,1.83396,0.98107,17.44062,0.65746
252,25.868,0.85068,1.81808,0.98158,17.43131,0.65623
253,25.966,0.85202,1.80939,0.98176,17.42192,0.65643
254,26.059,0.85339,1.79981,0.98169,17.4104,0.65555
255,26.154,0.85468,1.79641,0.98168,17.39646,0.65599
256,26.248,0.85604,1.80404,0.98189,16.12615,0.65451
257,26.343,0.8565,1.8171,0.98232,16.11007,0.65638
258,26.437,0.85659,1.82613,0.98259,16.09341,0.6543
259,26.534,0.85695,1.83571,0.98304,16.07559,0.65637
260,26.629,0.85702,1.8432,0.98288,16.05524,0.65501
261,26.722,0.85612,1.85038,0.98291,16.03225,0.65542
262,26.818,0.85699,1.85989,0.98304,15.49078,0.65456
